Date;Price;Open;High;Low;Vol.;Change %
08/12/2005;2,107.27;2,132.37;2,135.22;2,093.19;;-1.18%
08/11/2005;2,132.37;2,141.43;2,143.26;2,121.34;;-0.42%
08/10/2005;2,141.43;2,166.06;2,172.85;2,135.24;;-1.14%
08/09/2005;2,166.06;2,164.55;2,181.44;2,161.73;;0.07%
08/08/2005;2,164.55;2,152.19;2,168.54;2,152.19;;0.57%
08/05/2005;2,152.19;2,187.72;2,194.13;2,147.99;;-1.62%
08/04/2005;2,187.72;2,198.18;2,203.68;2,174.97;;-0.48%
08/03/2005;2,198.18;2,214.07;2,219.95;2,190.84;;-0.72%
08/02/2005;2,214.07;2,194.05;2,217.10;2,193.07;;0.91%
08/01/2005;2,194.05;2,175.06;2,194.82;2,175.13;;0.87%
07/29/2005;2,175.06;2,177.52;2,183.22;2,172.77;;-0.11%
07/28/2005;2,177.52;2,155.76;2,178.29;2,149.17;;1.01%
07/27/2005;2,155.76;2,152.79;2,162.96;2,152.26;;0.14%
07/26/2005;2,152.79;2,158.77;2,160.19;2,147.66;;-0.28%
07/25/2005;2,158.77;2,151.86;2,169.06;2,152.20;;0.32%
07/22/2005;2,151.86;2,136.36;2,155.98;2,134.66;;0.73%
07/21/2005;2,136.36;2,127.26;2,139.40;2,120.95;;0.43%
07/20/2005;2,127.26;2,132.74;2,141.34;2,126.65;;-0.26%
07/19/2005;2,132.74;2,103.02;2,133.84;2,102.80;;1.41%
07/18/2005;2,103.02;2,091.43;2,103.06;2,092.55;;0.55%
07/15/2005;2,091.43;2,095.39;2,098.42;2,088.38;;-0.19%
07/14/2005;2,095.39;2,084.07;2,096.01;2,084.07;;0.54%
07/13/2005;2,084.07;2,067.38;2,086.04;2,067.38;;0.81%
07/12/2005;2,067.38;2,062.51;2,068.14;2,062.47;;0.24%
07/11/2005;2,062.51;2,061.33;2,065.64;2,055.82;;0.06%
07/08/2005;2,061.33;2,058.34;2,073.04;2,058.34;;0.15%
07/07/2005;2,058.34;2,063.61;2,063.61;2,045.62;;-0.26%
07/06/2005;2,063.61;2,062.89;2,065.06;2,058.96;;0.03%
07/05/2005;2,062.89;2,061.20;2,064.33;2,056.63;;0.08%
07/04/2005;2,061.20;2,062.90;2,065.35;2,051.86;;-0.08%
07/01/2005;2,062.90;2,056.84;2,063.18;2,056.12;;0.29%
06/30/2005;2,056.84;2,055.91;2,062.88;2,040.34;;0.05%
06/29/2005;2,055.91;2,071.30;2,082.29;2,055.28;;-0.74%
