"Periodo,""1.Dow Jones, EE.UU."",""2.Nasdaq, EE.UU."",""3.FTSE100, Reino Unido"",""4.Nikkei, Japón"",""5.CAC40, Francia"",""6.DAX, Alemania"",""7.KOSPI, Corea del Sur."",""8.CSI 300, China."",""9.FTSE Bursa Malaysia KLCI, Malasia."",""10.WIG, Polonia."",""11.MOEX Rusia, Rusia."",""12.Bangkok SET, Tailandia."",""13.TWSE, Taiwán, Provincia de China."",""14.BIST, Turquía."",""15.MERVAL, Argentina."",""16.IBOVESPA, Brasil."",""17.COLCAP, Colombia."",""18.S&P/BMV IPC , México."",""19.IGBVL, Perú."""
"15.Jul.2003,""9,128.97"",""1,753.21"",""4,102.50"",""9,751.00"",""3,179.33"",""3,384.69"",""713.45"",""1,254.36"",""729.39"",""17,471.05"",""438.55"",""494.20"",""5,335.86"",""109.19"",""693.32"",""13,614.10"",""229.46"",""7,120.31"",""1,837.26"""
"16.Jul.2003,""9,094.59"",""1,747.97"",""4,077.10"",""9,735.97"",""3,150.72"",""3,387.64"",""716.48"",""1,259.90"",""724.35"",""17,382.86"",""410.24"",""503.19"",""5,413.87"",""107.91"",""698.26"",""13,487.20"",""223.15"",""7,023.94"",""1,829.02"""
"17.Jul.2003,""9,050.82"",""1,698.02"",""4,056.60"",""9,498.86"",""3,129.37"",""3,330.68"","""",""1,269.40"",""715.65"",""17,435.78"",""391.93"",""495.08"",""5,299.51"",""107.51"",""721.38"",""13,622.30"",""223.16"",""6,999.07"",""1,822.81"""
"18.Jul.2003,""9,188.15"",""1,708.50"",""4,073.20"",""9,527.73"",""3,129.21"",""3,366.71"",""699.35"",""1,241.57"",""716.52"",""17,695.59"",""398.80"",""493.04"",""5,287.38"",""108.57"",""743.24"",""13,794.30"",""226.23"",""7,030.76"",""1,819.06"""
"21.Jul.2003,""9,096.69"",""1,681.41"",""4,044.30"","""",""3,081.06"",""3,287.00"",""693.50"",""1,232.15"",""719.66"",""17,805.82"",""410.13"",""487.44"",""5,219.30"",""108.27"",""736.91"",""13,675.80"",""233.40"",""7,024.73"",""1,829.65"""
"22.Jul.2003,""9,158.45"",""1,706.10"",""4,079.70"",""9,485.97"",""3,092.62"",""3,318.15"",""699.70"",""1,235.30"",""712.86"",""17,615.45"",""419.10"",""488.58"",""5,261.01"",""105.44"",""746.08"",""13,835.20"",""233.26"",""7,164.29"",""1,835.24"""
"23.Jul.2003,""9,194.24"",""1,719.18"",""4,086.50"",""9,615.34"",""3,089.41"",""3,304.48"",""695.74"",""1,239.45"",""712.87"",""17,318.57"",""413.98"",""480.44"",""5,287.89"",""104.64"",""747.45"",""13,798.80"",""231.26"",""7,280.65"",""1,837.18"""
"24.Jul.2003,""9,112.51"",""1,701.42"",""4,149.60"",""9,671.00"",""3,156.86"",""3,374.82"",""702.94"",""1,231.02"",""710.37"",""17,390.39"",""426.80"",""478.90"",""5,402.75"",""104.75"",""735.45"",""13,761.10"",""227.57"",""7,309.41"",""1,839.51"""
"25.Jul.2003,""9,284.57"",""1,730.70"",""4,131.20"",""9,648.01"",""3,109.32"",""3,356.89"",""705.09"",""1,218.67"",""710.53"",""17,458.47"",""428.11"",""484.86"",""5,394.75"",""105.61"",""733.76"",""13,750.40"",""224.99"",""7,349.96"",""1,855.95"""
"28.Jul.2003,""9,266.51"",""1,735.36"",""4,148.80"",""9,839.91"",""3,164.93"",""3,417.77"",""717.80"",""1,213.15"",""708.24"",""17,961.51"",""427.96"",""480.48"",""5,451.80"",""105.98"",""735.51"",""13,643.40"",""224.25"",""7,314.22"","""""
"29.Jul.2003,""9,204.46"",""1,731.37"",""4,137.00"",""9,834.31"",""3,142.39"",""3,428.12"",""722.33"",""1,219.76"",""711.68"",""18,048.18"",""417.07"",""478.29"",""5,342.46"",""104.78"",""758.62"",""13,623.30"",""223.02"",""7,233.20"","""""
"30.Jul.2003,""9,200.05"",""1,720.91"",""4,141.20"",""9,632.66"",""3,172.51"",""3,429.03"",""714.15"",""1,221.76"",""720.71"",""17,894.13"",""422.43"",""474.90"",""5,307.18"",""104.45"",""763.38"",""13,474.60"",""220.26"",""7,260.20"",""1,849.21"""
"31.Jul.2003,""9,233.80"",""1,735.02"",""4,157.00"",""9,563.21"",""3,210.27"",""3,487.86"",""713.52"",""1,222.74"",""720.56"",""18,004.31"",""430.30"",""484.11"",""5,318.34"",""105.72"",""755.34"",""13,571.70"",""220.52"",""7,355.07"",""1,850.17"""
"01.Aug.2003,""9,153.97"",""1,715.62"",""4,098.40"",""9,611.67"",""3,169.63"",""3,438.89"",""727.26"",""1,226.24"",""723.03"",""17,978.89"",""419.22"",""491.54"",""5,390.51"",""106.21"",""748.78"",""13,129.80"",""219.78"",""7,320.41"",""1,853.31"""
"04.Aug.2003,""9,186.04"",""1,714.06"",""4,100.10"",""9,452.79"",""3,142.00"",""3,405.31"",""718.54"",""1,240.07"",""723.24"",""17,822.73"",""421.65"",""494.84"",""5,377.19"",""111.12"",""754.89"",""12,938.80"",""218.80"",""7,344.43"",""1,863.89"""
"05.Aug.2003,""9,036.32"",""1,673.50"",""4,121.00"",""9,382.58"",""3,187.61"",""3,438.36"",""721.84"",""1,239.05"",""722.23"",""17,932.76"",""424.41"",""489.99"",""5,259.45"",""115.00"",""742.09"",""13,059.30"",""218.51"",""7,273.45"",""1,869.22"""
"06.Aug.2003,""9,061.74"",""1,652.68"",""4,070.40"",""9,323.91"",""3,126.15"",""3,375.66"",""707.88"",""1,232.94"",""718.91"",""17,877.71"",""431.90"",""489.77"",""5,225.83"",""113.11"",""737.74"",""12,887.70"",""220.95"",""7,230.07"",""1,872.61"""
"07.Aug.2003,""9,126.45"",""1,652.18"",""4,095.60"",""9,265.56"",""3,130.56"",""3,331.89"",""709.81"",""1,232.97"",""719.79"",""18,417.70"",""431.97"",""498.38"",""5,259.07"",""115.47"",""741.72"",""13,328.40"","""",""7,304.67"",""1,868.68"""
"08.Aug.2003,""9,191.09"",""1,644.03"",""4,147.80"",""9,327.53"",""3,165.49"",""3,332.24"",""704.14"",""1,218.11"",""722.21"",""18,372.55"",""433.47"",""503.20"",""5,232.55"",""115.58"",""740.25"",""13,500.00"",""222.49"",""7,316.69"",""1,873.87"""
"11.Aug.2003,""9,217.35"",""1,661.51"",""4,176.70"",""9,487.80"",""3,188.32"",""3,339.58"",""704.58"",""1,222.20"",""726.83"",""18,600.68"",""442.96"",""513.19"",""5,214.60"",""117.62"",""715.01"",""13,560.30"",""222.58"",""7,356.62"",""1,884.53"""
"12.Aug.2003,""9,310.06"",""1,687.01"",""4,185.60"",""9,564.81"",""3,208.23"",""3,381.71"",""701.30"",""1,225.86"",""724.21"",""18,999.96"",""447.28"","""",""5,255.24"",""118.60"",""716.19"",""13,602.40"",""220.66"",""7,358.37"",""1,877.90"""
"13.Aug.2003,""9,271.76"",""1,686.61"",""4,180.70"",""9,752.75"",""3,208.06"",""3,398.89"",""713.08"",""1,210.56"",""724.23"",""18,958.84"",""453.36"",""525.15"",""5,442.27"",""119.16"",""718.75"",""13,682.30"",""219.44"",""7,368.92"",""1,878.50"""
"14.Aug.2003,""9,310.56"",""1,700.34"",""4,237.80"",""9,913.47"",""3,261.70"",""3,452.70"",""727.01"",""1,203.24"",""727.46"",""19,388.03"",""457.76"",""518.83"",""5,436.75"",""117.95"",""720.33"",""13,812.10"",""219.17"",""7,421.74"",""1,885.92"""
"15.Aug.2003,""9,321.69"",""1,702.01"",""4,247.30"",""9,863.47"",""3,279.21"",""3,443.93"","""",""1,201.32"",""728.51"","""",""464.33"",""519.04"",""5,488.74"",""118.77"",""713.66"",""13,889.60"",""218.98"",""7,418.43"",""1,876.24"""
"18.Aug.2003,""9,412.45"",""1,739.49"",""4,272.10"",""10,032.97"",""3,301.08"",""3,507.23"",""730.10"",""1,197.99"",""728.84"",""19,613.34"",""474.91"",""520.51"",""5,516.80"",""116.61"","""",""14,146.30"","""",""7,500.01"",""1,874.99"""
"19.Aug.2003,""9,428.90"",""1,761.11"",""4,250.80"",""10,174.10"",""3,310.70"",""3,504.53"",""740.13"",""1,201.66"",""732.07"",""19,602.26"",""476.17"",""525.94"",""5,512.16"",""116.89"",""687.98"",""14,157.90"",""218.87"",""7,487.57"",""1,885.64"""
"20.Aug.2003,""9,397.51"",""1,760.54"",""4,217.40"",""10,292.06"",""3,280.34"",""3,501.23"",""737.20"",""1,195.68"",""732.24"",""19,554.47"",""469.87"",""521.10"",""5,543.61"",""115.57"",""674.63"",""14,466.90"",""220.19"",""7,460.15"",""1,880.58"""
"21.Aug.2003,""9,423.68"",""1,777.55"",""4,223.50"",""10,362.69"",""3,306.42"",""3,565.47"",""754.34"",""1,194.63"",""739.96"",""20,024.02"",""478.31"",""530.21"",""5,611.86"",""118.46"",""697.56"",""14,669.90"",""220.06"",""7,498.31"",""1,886.23"""
"22.Aug.2003,""9,348.87"",""1,765.32"",""4,225.90"",""10,281.17"",""3,328.99"",""3,549.05"",""754.72"",""1,191.43"",""743.35"",""20,615.62"",""479.96"",""534.81"",""5,646.62"",""120.01"",""683.87"",""14,613.00"",""219.55"",""7,493.73"",""1,892.59"""
"25.Aug.2003,""9,317.64"",""1,764.31"","""",""10,276.64"",""3,291.36"",""3,500.09"",""756.73"",""1,177.30"",""742.26"",""20,622.01"",""477.40"",""529.53"",""5,686.85"",""117.98"",""690.65"",""14,473.20"",""218.37"",""7,435.33"",""1,873.12"""
"26.Aug.2003,""9,340.45"",""1,770.65"",""4,177.40"",""10,332.57"",""3,256.69"",""3,455.48"",""753.00"",""1,179.33"",""741.02"",""21,059.40"",""471.13"",""531.06"",""5,558.25"",""117.35"",""697.30"",""14,877.70"",""217.71"",""7,437.72"",""1,866.75"""
"27.Aug.2003,""9,333.79"",""1,782.13"",""4,206.40"",""10,308.99"",""3,280.02"",""3,483.08"",""758.98"",""1,178.40"",""744.62"",""20,996.25"",""469.98"",""525.82"",""5,553.43"",""116.23"",""708.74"",""15,142.60"",""217.18"",""7,502.08"",""1,880.99"""
"28.Aug.2003,""9,374.21"",""1,800.18"",""4,198.00"",""10,225.22"",""3,322.95"",""3,492.67"",""752.81"",""1,169.38"",""746.49"",""20,858.78"",""476.35"",""535.91"",""5,523.12"",""115.09"",""714.82"",""15,064.60"",""216.77"",""7,563.49"",""1,888.82"""
"29.Aug.2003,""9,415.82"",""1,810.45"",""4,161.10"",""10,343.55"",""3,311.42"",""3,484.58"",""759.47"",""1,178.57"",""743.30"",""21,336.29"",""484.00"",""537.71"",""5,650.83"",""116.12"",""713.33"",""15,174.50"",""216.46"",""7,591.42"",""1,896.82"""
"01.Sep.2003,"""","""",""4,204.40"",""10,670.18"",""3,358.52"",""3,571.22"",""764.11"",""1,199.81"","""",""22,033.81"",""491.90"",""545.23"",""5,691.79"",""116.53"",""712.43"",""15,352.10"",""215.94"",""7,631.82"",""1,889.10"""
"02.Sep.2003,""9,523.27"",""1,841.48"",""4,204.40"",""10,690.08"",""3,363.93"",""3,567.20"",""766.50"",""1,197.30"",""742.02"",""21,921.79"",""501.03"",""541.90"",""5,715.95"",""116.37"",""724.98"",""15,454.30"",""215.74"",""7,671.74"",""1,893.46"""
"03.Sep.2003,""9,568.46"",""1,852.90"",""4,262.10"",""10,715.69"",""3,422.78"",""3,647.51"",""766.32"",""1,198.44"",""745.17"",""21,659.87"",""495.11"",""539.88"",""5,673.18"",""116.72"",""733.75"",""15,633.80"",""215.86"",""7,719.12"",""1,894.29"""
"04.Sep.2003,""9,587.90"",""1,868.97"",""4,248.80"",""10,646.95"",""3,410.69"",""3,668.67"",""764.15"",""1,196.50"",""752.26"",""21,189.13"",""502.29"",""545.43"",""5,625.63"",""116.36"",""733.40"",""15,704.80"",""218.56"",""7,719.48"",""1,902.96"""
"05.Sep.2003,""9,503.34"",""1,858.24"",""4,257.20"",""10,650.77"",""3,392.75"",""3,607.71"",""761.55"",""1,183.91"",""756.48"",""20,713.37"",""497.82"",""557.81"",""5,639.03"",""116.32"",""750.87"",""15,899.60"",""219.05"",""7,775.34"",""1,913.34"""
"08.Sep.2003,""9,586.29"",""1,888.62"",""4,292.10"",""10,683.76"",""3,409.72"",""3,641.53"",""760.25"",""1,177.83"",""748.86"",""20,744.88"",""492.80"",""564.41"",""5,727.01"",""115.81"",""755.00"",""16,050.20"",""221.75"",""7,814.63"",""1,930.77"""
"09.Sep.2003,""9,507.20"",""1,873.43"",""4,263.90"",""10,922.04"",""3,375.26"",""3,594.40"",""767.46"",""1,172.05"",""742.83"",""20,426.40"",""490.25"",""557.55"",""5,680.69"",""119.47"",""727.33"",""15,718.30"",""222.39"",""7,732.90"",""1,940.27"""
"10.Sep.2003,""9,420.46"",""1,823.81"",""4,252.10"",""10,856.32"",""3,328.71"",""3,536.87"","""",""1,176.04"",""736.23"",""19,983.97"",""495.32"",""560.57"",""5,623.43"",""123.18"",""762.61"",""15,983.30"",""222.99"",""7,734.72"",""1,939.64"""
"11.Sep.2003,""9,459.76"",""1,846.09"",""4,242.20"",""10,546.33"",""3,348.25"",""3,566.85"","""",""1,176.93"",""743.00"",""20,156.20"",""491.88"",""561.66"","""",""125.07"",""761.93"",""16,292.40"",""222.38"",""7,741.87"",""1,946.82"""
"12.Sep.2003,""9,471.55"",""1,855.03"",""4,237.80"",""10,712.81"",""3,322.56"",""3,508.06"","""",""1,164.18"",""740.94"",""19,881.39"",""498.22"",""568.37"",""5,645.28"",""127.15"",""764.65"",""16,421.30"",""222.89"",""7,712.75"",""1,962.14"""
"15.Sep.2003,""9,448.81"",""1,845.70"",""4,260.90"","""",""3,338.36"",""3,516.31"",""753.61"",""1,152.36"",""743.01"",""19,824.11"",""505.80"",""566.54"",""5,623.22"",""126.62"",""778.64"",""16,341.80"",""224.68"",""7,729.14"",""1,951.45"""
"16.Sep.2003,""9,567.34"",""1,887.25"",""4,299.00"",""10,887.03"",""3,386.41"",""3,564.75"",""763.63"",""1,159.72"",""741.76"",""20,279.94"",""507.08"",""568.83"",""5,699.26"",""130.05"",""796.45"",""16,269.60"",""225.01"","""",""1,944.24"""
"17.Sep.2003,""9,545.65"",""1,883.10"",""4,293.00"",""10,990.11"",""3,393.93"",""3,561.03"",""766.59"",""1,147.30"",""747.00"",""20,223.61"",""502.12"",""558.70"",""5,747.14"",""129.58"",""799.96"",""16,492.40"",""224.93"",""7,746.54"",""1,944.66"""
"18.Sep.2003,""9,659.13"",""1,909.55"",""4,314.70"",""11,033.32"",""3,415.01"",""3,612.02"",""758.18"",""1,148.08"",""743.43"",""20,200.89"",""501.86"",""553.32"",""5,750.81"",""134.19"",""798.09"",""16,889.40"",""225.13"",""7,868.28"",""1,950.36"""
"19.Sep.2003,""9,644.82"",""1,905.70"",""4,257.00"",""10,938.42"",""3,373.64"",""3,578.70"",""748.25"",""1,149.29"",""744.17"",""20,261.10"",""497.37"",""567.21"",""5,757.91"",""136.64"",""781.69"",""16,851.50"",""225.11"",""7,891.67"",""1,962.30"""
"22.Sep.2003,""9,535.41"",""1,874.62"",""4,228.20"",""10,475.10"",""3,282.95"",""3,456.27"",""714.89"",""1,141.14"",""738.36"",""19,704.26"",""492.65"",""562.19"",""5,675.75"",""138.45"",""794.26"",""16,485.60"",""223.98"",""7,815.47"",""1,994.33"""
"23.Sep.2003,""9,576.04"",""1,901.72"",""4,221.70"","""",""3,266.04"",""3,411.02"",""718.84"",""1,147.29"",""737.24"",""19,783.39"",""504.52"",""566.13"",""5,684.01"",""140.31"",""794.45"",""16,443.50"",""222.07"",""7,834.47"",""2,003.74"""
"24.Sep.2003,""9,425.51"",""1,843.70"",""4,236.40"",""10,502.29"",""3,263.78"",""3,307.34"",""724.70"",""1,150.49"",""744.99"",""19,824.82"",""507.72"",""575.55"",""5,722.36"",""137.98"",""811.65"",""16,057.80"",""220.98"",""7,788.08"",""1,997.11"""
"25.Sep.2003,""9,343.96"",""1,817.24"",""4,202.20"",""10,310.04"",""3,230.54"",""3,326.27"",""713.52"",""1,136.69"",""742.67"",""19,805.49"",""503.83"",""576.68"",""5,688.23"",""139.36"",""803.89"",""15,806.00"",""217.24"",""7,771.93"",""1,979.43"""
"26.Sep.2003,""9,313.08"",""1,792.07"",""4,157.10"",""10,318.44"",""3,216.76"",""3,324.85"",""697.40"",""1,131.30"",""742.22"",""20,002.37"",""502.62"",""580.87"",""5,650.11"",""137.59"",""810.26"",""15,810.70"",""218.01"",""7,786.22"",""1,965.75"""
"29.Sep.2003,""9,380.24"",""1,824.56"",""4,142.70"",""10,229.57"",""3,188.71"",""3,323.38"",""696.06"",""1,116.55"",""736.16"",""19,771.96"",""516.03"",""580.93"",""5,643.50"",""132.56"",""820.17"",""16,108.70"",""217.66"",""7,836.36"",""1,987.31"""
"30.Sep.2003,""9,275.06"",""1,786.94"",""4,091.30"",""10,219.05"",""3,134.99"",""3,256.78"",""697.52"",""1,127.14"",""733.45"",""19,330.49"",""515.15"",""578.98"",""5,611.41"",""130.56"",""827.69"",""16,010.70"",""218.16"",""7,822.48"",""1,980.83"""
"01.Oct.2003,""9,469.20"",""1,832.25"",""4,169.20"",""10,361.24"",""3,191.01"",""3,329.83"",""704.29"","""",""737.64"",""19,338.26"",""521.11"",""569.75"",""5,581.66"",""134.44"",""827.91"",""16,578.70"",""219.71"",""7,937.18"",""1,983.15"""
"02.Oct.2003,""9,487.80"",""1,836.22"",""4,209.10"",""10,593.53"",""3,192.94"",""3,276.64"",""715.24"","""",""737.43"",""19,675.02"",""533.25"",""567.02"",""5,699.86"",""138.80"",""831.75"",""16,893.60"",""221.90"",""7,775.80"",""2,003.60"""
"03.Oct.2003,""9,572.31"",""1,880.57"",""4,274.00"",""10,709.29"",""3,296.36"",""3,419.00"","""","""",""740.20"",""19,938.26"",""535.80"",""558.34"",""5,747.79"",""142.10"",""830.16"",""17,089.30"",""223.13"",""7,838.77"",""2,028.04"""
"06.Oct.2003,""9,594.98"",""1,893.46"",""4,270.10"",""10,740.14"",""3,281.36"",""3,404.91"",""723.13"","""",""742.73"",""20,649.68"",""540.56"",""544.36"",""5,851.20"",""157.20"",""830.96"",""17,273.40"",""224.40"",""7,816.31"",""2,041.57"""
"07.Oct.2003,""9,654.61"",""1,907.85"",""4,272.00"",""10,820.33"",""3,254.75"",""3,355.78"",""727.09"","""",""748.55"",""20,566.33"",""546.32"",""544.39"",""5,856.68"",""154.83"",""831.22"",""17,470.10"",""226.19"",""7,825.01"",""2,049.76"""
"08.Oct.2003,""9,630.90"",""1,893.78"",""4,268.60"",""10,542.20"",""3,248.61"",""3,395.33"",""722.76"",""1,131.27"",""759.62"",""20,920.37"",""567.52"",""560.74"",""5,821.80"",""151.48"",""845.60"",""17,804.80"",""225.53"",""7,812.07"","""""
"09.Oct.2003,""9,680.01"",""1,911.90"",""4,313.90"",""10,531.44"",""3,324.99"",""3,481.90"",""736.16"",""1,128.77"",""779.41"",""21,161.76"",""559.35"",""573.63"",""5,869.88"",""149.07"",""862.54"",""17,708.20"",""226.39"",""7,937.00"",""2,066.91"""
"10.Oct.2003,""9,674.68"",""1,915.31"",""4,311.00"",""10,786.04"",""3,306.12"",""3,471.25"",""757.89"",""1,155.42"",""790.66"",""21,181.21"",""550.64"",""582.15"","""",""154.21"",""863.44"",""17,676.10"",""225.27"",""7,949.03"",""2,064.42"""
"13.Oct.2003,""9,764.38"",""1,933.53"",""4,362.30"","""",""3,360.34"",""3,538.39"",""757.02"",""1,151.78"",""791.74"",""21,107.56"",""567.38"",""578.59"",""5,972.47"",""150.65"","""",""18,061.90"","""",""7,960.42"",""2,084.04"""
"14.Oct.2003,""9,812.98"",""1,943.19"",""4,334.10"",""10,966.43"",""3,344.90"",""3,538.13"",""766.52"",""1,142.30"",""782.63"",""21,512.68"",""570.67"",""568.47"",""5,938.42"",""150.23"",""864.89"",""18,178.00"",""223.54"",""7,886.72"",""2,086.57"""
"15.Oct.2003,""9,803.05"",""1,939.10"",""4,368.80"",""10,899.95"",""3,374.98"",""3,570.58"",""764.23"",""1,139.02"",""783.21"",""21,818.77"",""572.16"",""576.10"",""5,924.38"",""153.82"",""869.60"",""17,942.00"",""223.66"",""7,843.70"",""2,092.62"""
"16.Oct.2003,""9,791.72"",""1,950.14"",""4,339.70"",""11,025.15"",""3,357.49"",""3,577.72"",""776.97"",""1,124.37"",""784.12"",""21,395.01"",""580.10"",""583.61"",""6,035.74"",""155.97"",""867.22"",""17,955.00"",""222.86"",""7,838.14"",""2,104.21"""
"17.Oct.2003,""9,721.79"",""1,912.36"",""4,344.00"",""11,037.89"",""3,353.72"",""3,516.67"",""767.75"",""1,128.10"",""781.05"",""21,213.89"",""583.10"",""588.60"",""6,042.71"",""153.82"",""877.84"",""17,790.70"",""224.92"",""7,859.82"",""2,090.26"""
"20.Oct.2003,""9,777.94"",""1,925.14"",""4,347.50"",""11,161.71"",""3,358.80"",""3,559.33"",""776.44"",""1,120.36"",""781.45"",""21,080.52"",""579.67"",""592.78"",""6,077.89"",""153.59"",""902.83"",""18,369.60"",""226.12"",""7,875.77"",""2,093.13"""
"21.Oct.2003,""9,747.64"",""1,940.90"",""4,352.30"",""11,031.52"",""3,363.30"",""3,580.08"",""779.89"",""1,124.54"",""790.31"",""20,632.65"",""553.45"",""593.02"",""6,061.46"",""155.95"",""913.91"",""18,448.70"",""226.74"",""7,936.68"",""2,092.76"""
"22.Oct.2003,""9,598.24"",""1,898.07"",""4,285.60"",""10,889.62"",""3,302.70"",""3,490.60"",""779.28"",""1,152.83"",""805.11"",""20,318.41"",""527.12"",""604.77"",""6,041.86"",""153.00"",""891.87"",""18,234.80"",""228.18"",""7,914.14"",""2,092.11"""
"23.Oct.2003,""9,613.13"",""1,885.51"",""4,240.20"",""10,335.16"",""3,264.29"",""3,497.14"",""754.14"",""1,143.71"",""804.43"",""20,339.87"",""530.91"","""",""5,952.23"",""148.29"",""891.73"",""17,689.80"",""229.92"",""7,874.05"",""2,085.65"""
"24.Oct.2003,""9,582.46"",""1,865.59"",""4,239.00"",""10,335.70"",""3,266.27"",""3,452.64"",""748.17"",""1,140.03"","""",""20,214.77"",""536.00"",""609.25"",""5,918.14"",""148.66"",""923.73"",""17,813.90"",""231.12"",""7,842.86"",""2,084.69"""
"27.Oct.2003,""9,608.16"",""1,882.91"",""4,251.30"",""10,454.12"",""3,306.59"",""3,517.10"",""761.61"",""1,130.46"",""803.52"",""19,948.17"",""500.42"",""615.68"",""5,958.55"",""145.65"",""917.98"",""17,750.50"",""227.71"",""7,905.21"",""2,083.79"""
"28.Oct.2003,""9,748.31"",""1,932.26"",""4,272.90"",""10,561.01"",""3,352.15"",""3,586.93"",""775.36"",""1,130.71"",""805.64"",""20,553.45"",""509.67"",""615.39"",""6,075.45"",""146.73"",""939.62"",""18,227.60"",""226.79"",""7,928.72"",""2,094.87"""
"29.Oct.2003,""9,774.53"",""1,936.56"",""4,265.70"",""10,739.22"",""3,366.95"",""3,615.42"",""779.66"",""1,123.22"",""809.97"",""20,449.96"",""498.35"",""624.06"",""6,095.87"","""",""942.99"",""17,944.80"",""228.62"",""7,925.20"",""2,116.02"""
"30.Oct.2003,""9,786.61"",""1,932.69"",""4,300.90"",""10,695.56"",""3,387.36"",""3,639.66"",""785.94"",""1,110.80"",""812.10"",""20,757.40"",""448.76"",""624.37"",""6,108.13"",""153.80"",""938.21"",""18,093.80"",""228.03"",""8,022.94"",""2,120.11"""
"31.Oct.2003,""9,801.12"",""1,932.21"",""4,287.60"",""10,559.59"",""3,373.20"",""3,655.99"",""782.36"",""1,111.62"",""817.12"",""20,663.72"",""468.85"",""639.45"",""6,045.12"",""157.54"",""929.89"",""17,982.50"",""230.43"",""8,064.83"",""2,109.18"""
"03.Nov.2003,""9,858.46"",""1,967.70"",""4,332.60"","""",""3,439.07"",""3,744.50"",""791.96"",""1,123.48"",""813.09"",""20,752.56"",""506.25"",""659.96"",""6,087.45"",""163.41"",""945.30"",""18,517.20"","""",""8,237.16"",""2,113.97"""
"04.Nov.2003,""9,838.83"",""1,957.96"",""4,330.30"",""10,847.97"",""3,424.81"",""3,741.71"",""796.06"",""1,145.17"",""815.99"",""20,413.76"",""502.78"",""665.06"",""6,108.99"",""162.68"",""954.53"",""18,541.20"",""232.11"",""8,265.85"",""2,106.59"""
"05.Nov.2003,""9,820.83"",""1,959.37"",""4,303.40"",""10,837.54"",""3,393.25"",""3,717.70"",""805.51"",""1,138.91"",""813.49"",""20,399.03"",""493.10"",""673.70"",""6,142.32"",""164.08"",""965.91"",""18,307.10"",""233.54"",""8,232.06"",""2,105.86"""
"06.Nov.2003,""9,856.97"",""1,976.37"",""4,324.20"",""10,552.30"",""3,412.18"",""3,733.93"",""790.04"",""1,118.92"",""809.14"",""20,647.55"",""492.89"",""667.54"",""6,013.40"",""155.37"","""",""18,613.00"",""234.85"",""8,342.63"",""2,098.91"""
"07.Nov.2003,""9,809.79"",""1,970.74"",""4,376.90"",""10,628.98"",""3,453.13"",""3,782.56"",""804.05"",""1,103.78"",""806.78"",""20,602.63"","""",""671.00"",""6,056.83"",""157.08"",""963.06"",""18,672.20"",""235.02"",""8,430.60"",""2,109.82"""
"10.Nov.2003,""9,756.53"",""1,941.64"",""4,341.80"",""10,504.54"",""3,425.19"",""3,746.24"",""796.56"",""1,108.03"",""800.96"",""20,691.85"",""493.72"",""664.36"",""6,059.03"",""155.29"",""951.80"",""18,572.30"",""234.21"",""8,372.10"",""2,095.38"""
"11.Nov.2003,""9,737.79"",""1,930.75"",""4,345.10"",""10,207.04"",""3,406.05"",""3,729.87"",""787.77"",""1,108.89"",""795.28"","""",""482.61"",""647.55"",""6,022.08"",""152.24"",""918.46"",""18,408.60"",""234.65"",""8,365.51"",""2,085.93"""
"12.Nov.2003,""9,848.83"",""1,973.11"",""4,371.20"",""10,226.22"",""3,411.05"",""3,748.34"",""796.31"",""1,089.31"",""790.31"",""20,401.72"",""474.82"",""653.49"",""5,982.75"",""157.71"",""924.37"",""18,793.50"",""235.14"",""8,539.31"",""2,109.55"""
"13.Nov.2003,""9,837.94"",""1,967.35"",""4,373.00"",""10,337.67"",""3,412.55"",""3,765.59"",""813.11"",""1,091.71"",""791.49"",""20,388.22"",""475.43"",""658.15"",""6,035.44"",""160.57"",""932.43"",""18,754.60"",""236.33"",""8,643.93"",""2,113.80"""
"14.Nov.2003,""9,768.68"",""1,930.26"",""4,397.00"",""10,167.06"",""3,448.60"",""3,797.40"",""809.89"",""1,100.02"",""792.23"",""20,425.08"",""472.57"",""657.38"",""6,044.77"",""160.81"",""932.21"",""18,985.90"",""236.93"",""8,606.03"",""2,111.67"""
"17.Nov.2003,""9,710.83"",""1,909.61"",""4,338.90"",""9,786.83"",""3,359.30"",""3,674.54"",""794.47"",""1,095.95"",""781.95"",""19,899.74"",""461.77"",""640.84"",""5,952.32"",""156.87"",""913.62"",""18,668.70"","""",""8,488.65"",""2,103.94"""
"18.Nov.2003,""9,624.16"",""1,881.75"",""4,354.70"",""9,897.05"",""3,352.92"",""3,666.28"",""800.97"",""1,081.00"",""782.17"",""19,674.12"",""441.18"",""636.75"",""5,939.47"",""157.60"",""916.72"",""18,813.00"",""238.77"",""8,541.69"",""2,115.25"""
"19.Nov.2003,""9,690.46"",""1,899.65"",""4,327.40"",""9,614.60"",""3,343.38"",""3,652.29"",""771.70"",""1,098.05"",""765.95"",""19,333.50"",""429.26"",""619.03"",""5,865.51"",""157.80"",""921.09"",""18,807.30"",""239.63"",""8,351.29"",""2,101.02"""
"20.Nov.2003,""9,619.42"",""1,881.92"",""4,308.00"",""9,865.70"",""3,324.39"",""3,638.04"",""769.45"",""1,129.13"",""777.21"",""18,782.83"",""446.15"",""614.23"",""5,834.24"",""146.18"",""922.11"",""19,199.10"",""240.76"","""",""2,105.00"""
