"Periodo,""1.Dow Jones, EE.UU."",""2.Nasdaq, EE.UU."",""3.FTSE100, Reino Unido"",""4.Nikkei, Japón"",""5.CAC40, Francia"",""6.DAX, Alemania"",""7.KOSPI, Corea del Sur."",""8.CSI 300, China."",""9.FTSE Bursa Malaysia KLCI, Malasia."",""10.WIG, Polonia."",""11.MOEX Rusia, Rusia."",""12.Bangkok SET, Tailandia."",""13.TWSE, Taiwán, Provincia de China."",""14.BIST, Turquía."",""15.MERVAL, Argentina."",""16.IBOVESPA, Brasil."",""17.COLCAP, Colombia."",""18.S&P/BMV IPC , México."",""19.IGBVL, Perú."""
"20.Feb.1990,""2,596.85"",""423.83"",""2,277.00"",""36,895.52"",""1,820.16"",""1,823.81"",""856.64"","""",""622.20"","""","""",""841.61"",""12,271.94"",""0.36"",""48.70"",""0.00"","""","""",""0.35"""
"21.Feb.1990,""2,583.56"",""421.52"",""2,259.70"",""35,734.33"",""1,803.79"",""1,807.19"",""853.04"","""",""603.47"","""","""",""836.15"",""11,975.29"",""0.37"",""57.70"",""0.00"","""","""",""0.35"""
"22.Feb.1990,""2,574.77"",""422.75"",""2,269.20"",""35,826.84"",""1,836.91"",""1,820.15"",""853.45"","""",""607.91"","""","""",""818.58"",""11,749.13"",""0.36"",""61.05"",""0.00"","""","""",""0.36"""
"23.Feb.1990,""2,564.19"",""419.52"",""2,236.70"",""34,890.97"",""1,803.62"",""1,789.64"",""850.84"","""",""601.25"","""","""",""818.32"",""11,814.35"",""0.34"",""61.64"",""0.00"","""","""",""0.36"""
"26.Feb.1990,""2,602.48"",""420.95"",""2,249.30"",""33,321.87"",""1,804.10"",""1,776.04"",""833.81"","""",""581.50"","""","""",""801.21"",""11,086.63"",""0.32"",""63.04"","""","""","""",""0.36"""
"27.Feb.1990,""2,617.12"",""422.61"",""2,254.80"",""33,897.95"",""1,825.38"",""1,804.32"",""859.83"","""",""592.91"","""","""",""804.82"",""11,431.20"",""0.32"",""68.82"","""","""","""",""0.37"""
"28.Feb.1990,""2,627.25"",""425.83"",""2,255.40"",""34,591.99"",""1,849.68"",""1,809.92"",""861.59"","""",""603.18"","""","""",""813.67"",""11,661.73"",""0.35"",""87.14"",""0.00"","""","""",""0.37"""
"01.Mar.1990,""2,635.59"",""427.21"",""2,238.40"",""33,829.58"",""1,832.44"",""1,787.87"","""","""",""600.20"","""","""",""812.94"",""11,419.85"",""0.37"",""95.74"",""0.00"","""","""",""0.37"""
"02.Mar.1990,""2,660.36"",""431.02"",""2,254.80"",""34,057.56"",""1,860.48"",""1,818.23"",""884.07"","""",""603.64"","""","""",""811.24"",""11,436.99"",""0.38"",""83.70"",""0.00"","""","""",""0.37"""
"05.Mar.1990,""2,649.55"",""430.15"",""2,230.50"",""33,845.20"",""1,874.43"",""1,833.16"",""865.22"","""",""605.26"","""","""",""813.98"",""11,019.36"",""0.35"","""",""0.00"","""","""",""0.37"""
"06.Mar.1990,""2,676.80"",""432.33"",""2,216.00"",""33,791.08"",""1,872.30"",""1,822.22"",""857.58"","""",""599.71"","""","""",""804.47"",""11,462.14"",""0.34"",""69.59"",""0.00"","""","""",""0.37"""
"07.Mar.1990,""2,669.59"",""432.47"",""2,230.30"",""33,362.34"",""1,880.57"",""1,844.72"",""847.46"","""",""601.08"","""","""",""799.86"",""11,415.56"",""0.34"",""67.73"",""0.00"","""","""",""0.37"""
"08.Mar.1990,""2,696.17"",""436.50"",""2,249.90"",""33,690.89"",""1,917.99"",""1,860.92"",""847.77"","""",""603.92"","""","""",""801.32"",""11,373.32"",""0.33"",""73.74"",""0.00"","""","""",""0.38"""
"09.Mar.1990,""2,683.33"",""436.76"",""2,234.30"",""33,993.12"",""1,921.11"",""1,858.74"",""852.70"","""",""606.94"","""","""",""802.40"",""11,350.28"",""0.34"",""71.10"",""0.00"","""","""",""0.38"""
"12.Mar.1990,""2,686.71"",""436.56"",""2,222.40"",""33,368.23"",""1,912.59"",""1,846.08"",""850.65"","""",""600.24"","""","""",""795.91"",""11,817.54"",""0.35"",""68.41"",""0.00"","""","""",""0.38"""
"13.Mar.1990,""2,674.55"",""434.58"",""2,224.50"",""32,620.57"",""1,924.30"",""1,867.48"",""841.56"","""",""596.79"","""","""",""783.46"",""11,925.24"",""0.35"",""66.31"",""0.00"","""","""",""0.38"""
"14.Mar.1990,""2,687.84"",""436.15"",""2,226.10"",""32,352.13"",""1,946.37"",""1,862.84"",""838.19"","""",""596.66"","""","""",""776.71"",""11,896.87"",""0.34"",""72.79"",""0.00"","""","""",""0.38"""
"15.Mar.1990,""2,695.72"",""438.06"",""2,234.90"",""32,671.64"",""1,964.47"",""1,879.32"",""835.59"","""",""598.05"","""","""",""783.33"",""11,934.49"",""0.34"",""69.77"",""0.00"","""","""",""0.38"""
"16.Mar.1990,""2,741.22"",""442.16"",""2,263.90"",""32,616.44"",""1,958.82"",""1,889.69"",""842.27"","""",""600.78"","""","""",""787.50"",""11,502.34"",""0.34"",""66.63"",""0.00"","""","""",""0.38"""
"19.Mar.1990,""2,755.63"",""442.91"",""2,238.00"",""31,263.24"",""1,936.96"",""1,906.77"",""839.42"","""",""598.87"","""","""",""790.32"",""11,369.69"",""0.35"",""61.27"",""0.00"","""","""",""0.38"""
"20.Mar.1990,""2,738.74"",""440.08"",""2,259.70"",""30,807.19"",""1,925.39"",""1,908.83"",""849.98"","""",""601.36"","""","""",""786.65"",""11,447.55"",""0.35"",""61.69"",""0.00"","""","""",""0.39"""
"21.Mar.1990,""2,727.93"",""439.30"",""2,250.30"","""",""1,937.18"",""1,937.99"",""849.91"","""",""603.16"","""","""",""792.19"",""11,257.32"",""0.36"",""64.62"",""0.00"","""","""",""0.40"""
"22.Mar.1990,""2,695.72"",""434.51"",""2,258.90"",""29,843.34"",""1,914.11"",""1,918.98"",""845.96"","""",""597.38"","""","""",""796.50"",""10,978.15"",""0.36"",""59.87"",""0.00"","""","""",""0.41"""
"23.Mar.1990,""2,704.28"",""437.25"",""2,283.90"",""30,372.16"",""1,937.40"",""1,932.12"",""841.79"","""",""598.02"","""","""",""803.13"",""10,628.29"",""0.36"",""58.79"",""0.00"","""","""",""0.42"""
"26.Mar.1990,""2,707.66"",""438.84"",""2,298.20"",""31,840.49"",""1,964.16"",""1,939.53"",""834.54"","""",""601.37"","""","""",""818.00"",""10,546.01"",""0.35"",""60.94"",""0.00"","""","""",""0.43"""
"27.Mar.1990,""2,736.94"",""439.50"",""2,266.30"",""31,825.96"",""1,945.96"",""1,924.98"",""827.92"","""",""598.38"","""","""",""834.83"",""10,406.31"",""0.36"",""71.55"",""0.00"","""","""",""0.45"""
"28.Mar.1990,""2,743.69"",""436.69"",""2,274.00"",""31,263.57"",""1,939.33"",""1,928.60"",""819.04"","""",""592.95"","""","""",""832.69"",""10,447.87"",""0.36"",""70.79"",""0.00"","""","""",""0.47"""
"29.Mar.1990,""2,727.70"",""435.42"",""2,263.00"",""31,026.16"",""1,947.23"",""1,953.89"",""824.59"","""",""585.04"","""","""",""845.28"","""",""0.33"",""78.06"",""0.00"","""","""",""0.48"""
"30.Mar.1990,""2,707.21"",""435.54"",""2,247.90"",""29,980.45"",""1,971.79"",""1,968.55"",""845.98"","""",""583.60"","""","""",""851.53"",""10,512.19"",""0.33"",""80.10"",""0.00"","""","""",""0.50"""
"02.Apr.1990,""2,700.45"",""433.18"",""2,221.60"",""28,002.07"",""1,947.18"",""1,931.30"",""838.29"","""",""565.92"","""","""",""853.74"",""11,163.49"",""0.34"",""81.26"",""0.00"","""","""",""0.52"""
"03.Apr.1990,""2,736.71"",""437.65"",""2,240.70"",""28,759.72"",""1,985.55"",""1,968.33"",""836.63"","""",""565.13"","""","""",""848.17"",""11,119.00"",""0.35"",""80.39"",""0.00"","""","""",""0.55"""
"04.Apr.1990,""2,719.37"",""435.42"",""2,231.60"",""28,442.94"",""2,001.49"",""1,963.25"",""828.98"","""",""561.20"","""","""",""846.03"",""10,907.09"",""0.34"",""84.58"",""0.00"","""","""",""0.59"""
"05.Apr.1990,""2,721.17"",""433.42"",""2,239.50"",""28,249.06"",""2,028.06"",""1,958.39"","""","""",""550.61"","""","""",""840.30"","""",""0.33"",""89.13"",""0.00"","""","""",""0.60"""
